agent_ID,forecast_ID,gap
1,1,1.4832127022599781
1,2,1.4488516369659412
1,3,1.4854699400090983
1,4,1.4977520713757322
1,5,1.482305688927962
1,6,1.4581503456695621
1,7,1.4935923868406342
1,8,1.47456929117094
1,9,1.4699839065483573
1,10,1.4385063699460736
1,11,1.440647418958557
1,12,1.4544670703562521
1,13,1.4587449656385698
1,14,1.4515502225384136
1,15,1.4815972496859082
1,16,1.4531398248528857
1,17,1.455071960263893
1,18,1.4593437487618592
1,19,1.4786111618997144
1,20,1.4863044541215804
1,21,1.4737791346375761
1,22,1.5278594132741201
1,23,1.477548905033236
1,24,1.498756823213938
1,25,1.458700794497659
1,26,1.4464863513344746
1,27,1.4333595243877628
1,28,1.5068803939669242
1,29,1.4505241795102646
1,30,1.4925758891023513
1,31,1.4648652382559941
1,32,1.4517811396946092
1,33,1.5092208211079692
1,34,1.4716852242482776
1,35,1.4141652614510245
1,36,1.4537018006442701
1,37,1.4816054087358568
1,38,1.4469464453119762
1,39,1.483151889478056
1,40,1.4809603420904565
1,41,1.485117288747063
1,42,1.4309079160327993
1,43,1.4903282381608411
1,44,1.4686276324980843
1,45,1.4703108349428011
1,46,1.4729744146762758
1,47,1.4709822773544898
1,48,1.4742384969698383
1,49,1.4990660335156916
1,50,1.4776086648602806
1,51,1.4323213434428888
1,52,1.5071058282154892
1,53,1.459216986991676
1,54,1.5456185265506273
1,55,1.4780018320381951
1,56,1.4941054147961785
1,57,1.5130474046898934
1,58,1.4459549327185535
1,59,1.4678409563622914
1,60,1.5251830381287528
1,61,1.455669585723593
1,62,1.4680436151277663
1,63,1.5386177330214386
1,64,1.438390684639105
1,65,1.4923313194339611
1,66,1.431412111261284
1,67,1.4558528991610986
1,68,1.403168305194869
1,69,1.4732712539825314
1,70,1.4503710995083816
1,71,1.5383333339457308
1,72,1.5261249334368712
1,73,1.484963738342489
1,74,1.4336323331695175
1,75,1.4474641697282227
1,76,1.5377529991314973
1,77,1.5005887958110424
1,78,1.47121817277985
1,79,1.3880987452799154
1,80,1.4419417435917818
1,81,1.475735871009812
1,82,1.460318123712427
1,83,1.3850119519553434
1,84,1.4947177936101173
1,85,1.4480384365382797
1,86,1.5207115518020022
1,87,1.4252546892915796
1,88,1.4609787773875431
1,89,1.5035956264481882
1,90,1.512686381858439
1,91,1.4871106918003347
1,92,1.4569499867618072
1,93,1.4095259660877928
1,94,1.5273048917857879
1,95,1.49882945848063
1,96,1.4671537158733936
1,97,1.4746788697579896
1,98,1.4669428918702017
1,99,1.4103965907241434
1,100,1.403717347867385
1,101,1.489047595848862
1,102,1.516326301042315
1,103,1.5151324731826414
1,104,1.491572761961879
1,105,1.5276746314276037
1,106,1.5164688911511788
1,107,1.5069403517593596
1,108,1.5388245709950144
1,109,1.5042608851468722
1,110,1.491225003717679
1,111,1.4818031957999849
1,112,1.5267611154971559
1,113,1.4799300497886008
1,114,1.5329825010292994
1,115,1.5373414465469888
1,116,1.4876685590419991
1,117,1.5268118076270434
1,118,1.5014622076391912
1,119,1.4883823788387693
1,120,1.4481837214313455
1,121,1.5013953042744346
1,122,1.492457479798884
